DTYYYYMMDD,Ticker,Open,High,Low,Close,Volume,Outlier
2018-06-08,VN30F1M,1016.0,1020.3,1010.3,1017.9,66510.0,False
2018-06-11,VN30F1M,1015.8,1031.7,1012.0,1017.1,66844.0,False
2018-06-12,VN30F1M,1014.5,1014.5,995.1,1005.8,89829.0,False
2018-06-13,VN30F1M,1007.4,1018.5,1002.6,1018.5,83785.0,False
2018-06-14,VN30F1M,1018.8,1021.4,1002.0,1002.0,73466.0,False
2018-06-15,VN30F1M,1000.0,1008.0,994.2,1008.0,74736.0,False
2018-06-18,VN30F1M,1006.0,1008.1,970.0,970.0,78352.0,False
2018-06-19,VN30F1M,964.2,965.0,908.1,937.9,104565.0,False
2018-06-20,VN30F1M,945.0,963.5,935.0,961.0,113319.0,False
2018-06-21,VN30F1M,962.0,963.0,942.5,954.0,69828.0,False
2018-06-22,VN30F1M,940.0,969.6,937.4,967.2,112249.0,False
2018-06-25,VN30F1M,972.9,988.0,972.2,973.2,83134.0,False
2018-06-26,VN30F1M,969.0,969.2,949.6,968.0,109891.0,False
2018-06-27,VN30F1M,975.1,976.9,945.0,945.0,120943.0,False
2018-06-28,VN30F1M,945.0,952.5,926.1,941.0,140490.0,False
2018-06-29,VN30F1M,943.2,951.9,936.7,943.2,118223.0,False
2018-07-02,VN30F1M,940.0,942.3,912.5,921.0,128952.0,False
2018-07-03,VN30F1M,924.0,925.9,890.1,890.1,138450.0,False
2018-07-04,VN30F1M,889.4,898.0,878.6,893.0,147237.0,False
2018-07-05,VN30F1M,894.0,894.5,856.1,866.0,140761.0,False
2018-07-06,VN30F1M,871.0,904.0,857.3,895.0,163341.0,False
2018-07-09,VN30F1M,907.0,916.8,884.0,884.0,146717.0,False
2018-07-10,VN30F1M,890.9,910.8,882.5,889.0,162556.0,False
2018-07-11,VN30F1M,877.0,877.9,853.2,871.0,153804.0,False
2018-07-12,VN30F1M,872.0,891.6,870.0,876.0,147074.0,False
2018-07-13,VN30F1M,883.0,902.0,882.6,902.0,155462.0,False
2018-07-16,VN30F1M,910.0,914.8,898.0,908.0,139667.0,False
2018-07-17,VN30F1M,902.0,918.0,897.1,918.0,136753.0,False
2018-07-18,VN30F1M,923.0,934.1,920.5,934.1,84471.0,False
2018-07-19,VN30F1M,936.0,942.5,933.0,941.0,64497.0,False
2018-07-20,VN30F1M,932.3,946.0,927.5,945.0,100734.0,False
2018-07-23,VN30F1M,938.0,948.1,925.0,925.0,102432.0,False
2018-07-24,VN30F1M,930.0,933.9,915.2,924.0,138258.0,False
2018-07-25,VN30F1M,927.2,931.5,911.0,911.0,121062.0,False
2018-07-26,VN30F1M,912.1,919.8,904.2,919.8,123125.0,False
2018-07-27,VN30F1M,919.0,926.7,918.2,925.0,97568.0,False
2018-07-30,VN30F1M,926.4,940.8,926.2,937.5,77330.0,False
2018-07-31,VN30F1M,938.0,945.6,935.2,938.5,104633.0,False
2018-08-01,VN30F1M,939.0,943.1,931.5,934.0,97696.0,False
2018-08-02,VN30F1M,932.0,938.2,923.1,938.2,98563.0,False
2018-08-03,VN30F1M,938.2,944.9,935.0,935.0,74712.0,False
2018-08-06,VN30F1M,937.0,939.0,930.0,934.6,95205.0,False
2018-08-07,VN30F1M,935.1,938.0,931.6,934.5,83809.0,False
2018-08-08,VN30F1M,935.2,943.5,934.8,943.5,64108.0,False
2018-08-09,VN30F1M,946.0,950.8,940.2,940.2,79080.0,False
2018-08-10,VN30F1M,939.0,947.6,935.8,946.5,85062.0,False
2018-08-13,VN30F1M,943.5,954.6,942.2,953.0,81541.0,False
2018-08-14,VN30F1M,955.1,962.0,952.1,959.3,79266.0,False
2018-08-15,VN30F1M,958.0,962.4,946.6,946.6,89449.0,False
2018-08-16,VN30F1M,942.4,947.5,935.5,947.0,71410.0,False
2018-08-17,VN30F1M,953.0,954.8,944.6,947.0,98531.0,False
2018-08-20,VN30F1M,946.2,951.5,942.5,945.0,88210.0,False
2018-08-21,VN30F1M,944.7,958.5,944.0,958.5,83718.0,False
2018-08-22,VN30F1M,959.6,960.6,953.5,957.0,87588.0,False
2018-08-23,VN30F1M,957.0,963.5,955.8,960.6,84610.0,False
2018-08-24,VN30F1M,959.1,963.0,956.3,958.5,73122.0,False
2018-08-27,VN30F1M,960.8,965.2,960.7,963.2,56268.0,False
2018-08-28,VN30F1M,966.0,967.7,964.3,965.6,54821.0,False
2018-08-29,VN30F1M,966.0,966.2,961.9,962.0,47353.0,False
2018-08-30,VN30F1M,961.0,970.5,960.6,970.5,47804.0,False
2018-08-31,VN30F1M,970.0,973.3,963.5,965.7,62804.0,False
2018-09-03,VN30F1M,967.25,969.65,959.75,960.85,63821.0,False
2018-09-04,VN30F1M,964.5,966.0,956.0,956.0,64838.0,False
2018-09-05,VN30F1M,952.5,954.5,940.1,944.0,87717.0,False
2018-09-06,VN30F1M,945.1,945.9,933.0,934.7,94376.0,False
2018-09-07,VN30F1M,935.5,946.5,930.3,943.5,99446.0,False
2018-09-10,VN30F1M,944.5,944.8,934.6,936.2,82105.0,False
2018-09-11,VN30F1M,936.8,953.1,935.8,953.1,84494.0,False
2018-09-12,VN30F1M,955.0,963.0,950.0,950.0,103483.0,False
2018-09-13,VN30F1M,953.0,959.5,948.6,953.0,126627.0,False
2018-09-14,VN30F1M,956.0,960.9,953.5,958.5,91254.0,False
2018-09-17,VN30F1M,955.4,956.4,949.0,950.5,75317.0,False
2018-09-18,VN30F1M,948.0,962.0,947.0,962.0,76287.0,False
2018-09-19,VN30F1M,964.3,966.9,959.7,962.8,71919.0,False
2018-09-20,VN30F1M,963.5,971.0,962.2,971.0,52525.0,False
2018-09-21,VN30F1M,975.9,980.5,968.5,980.0,76966.0,False
2018-09-24,VN30F1M,978.1,985.0,977.1,981.5,69909.0,False
2018-09-25,VN30F1M,982.2,983.9,979.4,980.6,62209.0,False
2018-09-26,VN30F1M,981.4,988.4,980.1,981.0,64336.0,False
2018-09-27,VN30F1M,983.0,987.3,980.9,985.8,77757.0,False
2018-09-28,VN30F1M,987.5,990.4,986.1,987.4,60396.0,False
2018-10-01,VN30F1M,989.0,991.3,984.9,984.9,50646.0,False
2018-10-02,VN30F1M,984.5,988.5,981.1,984.0,61385.0,False
2018-10-03,VN30F1M,984.5,987.3,982.6,986.5,57468.0,False
2018-10-04,VN30F1M,987.2,992.0,986.5,992.0,49998.0,False
2018-10-05,VN30F1M,990.1,990.9,982.3,982.6,53977.0,False
2018-10-08,VN30F1M,979.0,979.5,972.0,973.2,64737.0,False
2018-10-09,VN30F1M,974.3,976.4,970.2,973.5,62027.0,False
2018-10-10,VN30F1M,973.0,973.9,970.2,971.6,43355.0,False
2018-10-11,VN30F1M,952.0,959.0,920.2,920.2,129141.0,False
2018-10-12,VN30F1M,910.0,944.5,902.9,944.0,148760.0,False
2018-10-15,VN30F1M,939.5,942.0,919.0,919.0,134430.0,False
2018-10-16,VN30F1M,925.5,938.0,924.6,935.1,121759.0,False
