Ticker	DTYYYYMMDD	Open	High	Low	Close	Volume
HNX:VN301!	20210820	1492.8	1493.2	1425.0	1445.0	291240.0
HNX:VN301!	20210823	1444.4	1447.7	1408.1	1411.2	355898.0
HNX:VN301!	20210824	1415.0	1427.7	1407.0	1415.1	320767.0
HNX:VN301!	20210825	1417.8	1432.0	1410.0	1431.5	278294.0
HNX:VN301!	20210826	1430.4	1432.0	1402.1	1406.7	243290.0
HNX:VN301!	20210827	1409.5	1422.9	1390.0	1420.0	354844.0
HNX:VN301!	20210830	1423.0	1435.3	1422.5	1432.9	196331.0
HNX:VN301!	20210831	1433.1	1434.5	1421.0	1427.0	192383.0
HNX:VN301!	20210901	1427.1	1435.0	1422.6	1428.6	212896.0
HNX:VN301!	20210906	1433.8	1445.0	1431.0	1444.6	148530.0
HNX:VN301!	20210907	1445.2	1449.8	1436.0	1441.0	170759.0
HNX:VN301!	20210908	1441.7	1442.0	1427.6	1431.1	192479.0
HNX:VN301!	20210909	1430.7	1446.0	1429.8	1446.0	159355.0
HNX:VN301!	20210910	1447.2	1453.3	1442.3	1447.1	153049.0
HNX:VN301!	20210913	1445.3	1448.8	1437.1	1442.0	136105.0
HNX:VN301!	20210914	1441.0	1445.2	1434.5	1436.5	134355.0
HNX:VN301!	20210915	1437.5	1451.0	1434.8	1447.5	134646.0
HNX:VN301!	20210916	1447.9	1453.8	1445.7	1449.8	106700.0
HNX:VN301!	20210917	1444.3	1457.8	1443.3	1456.8	134748.0
HNX:VN301!	20210920	1460.0	1467.0	1452.0	1452.0	144551.0
HNX:VN301!	20210921	1446.0	1447.4	1425.4	1440.0	228417.0
HNX:VN301!	20210922	1441.4	1443.9	1433.6	1440.8	161234.0
HNX:VN301!	20210923	1447.8	1455.5	1445.5	1450.0	143800.0
HNX:VN301!	20210924	1454.6	1456.0	1446.1	1449.9	142418.0
HNX:VN301!	20210927	1452.3	1454.4	1434.0	1434.0	132944.0
HNX:VN301!	20210928	1430.0	1454.4	1429.5	1454.4	163465.0
HNX:VN301!	20210929	1449.1	1452.5	1433.4	1449.2	236111.0
HNX:VN301!	20210930	1451.0	1458.5	1448.0	1452.0	183857.0
HNX:VN301!	20211001	1441.0	1446.5	1436.0	1441.0	180114.0
HNX:VN301!	20211004	1441.0	1444.8	1434.0	1440.3	137078.0
HNX:VN301!	20211005	1437.9	1449.8	1437.6	1449.0	117088.0
HNX:VN301!	20211006	1451.2	1453.5	1447.1	1452.0	105801.0
HNX:VN301!	20211007	1457.4	1459.5	1452.8	1454.8	94624.0
HNX:VN301!	20211008	1458.0	1477.0	1457.4	1474.5	118668.0
HNX:VN301!	20211011	1475.5	1514.8	1475.5	1513.5	132442.0
HNX:VN301!	20211012	1513.5	1514.0	1499.5	1510.0	161659.0
HNX:VN301!	20211013	1513.0	1522.6	1502.1	1503.1	175902.0
HNX:VN301!	20211014	1508.5	1514.9	1500.0	1505.9	179589.0
HNX:VN301!	20211015	1510.0	1516.7	1500.3	1504.5	148017.0
HNX:VN301!	20211018	1505.1	1522.0	1505.1	1510.5	148905.0
HNX:VN301!	20211019	1511.1	1513.5	1503.1	1510.6	151954.0
HNX:VN301!	20211020	1513.0	1517.5	1451.0	1504.0	166752.0
HNX:VN301!	20211021	1507.2	1509.5	1489.0	1489.0	135082.0
HNX:VN301!	20211022	1495.2	1496.9	1485.3	1492.0	119964.0
HNX:VN301!	20211025	1495.0	1495.0	1478.0	1478.0	132334.0
HNX:VN301!	20211026	1477.0	1489.1	1468.2	1489.0	151082.0
HNX:VN301!	20211027	1488.3	1526.5	1487.5	1523.3	157322.0
HNX:VN301!	20211028	1523.3	1535.9	1517.2	1532.3	150253.0
HNX:VN301!	20211029	1532.0	1540.0	1526.5	1533.7	151803.0
HNX:VN301!	20211101	1535.0	1535.7	1518.1	1522.7	124238.0
HNX:VN301!	20211102	1522.0	1528.7	1518.6	1524.1	120853.0
HNX:VN301!	20211103	1524.4	1538.3	1520.1	1528.5	174162.0
HNX:VN301!	20211104	1530.5	1535.2	1523.1	1529.8	142712.0
HNX:VN301!	20211105	1529.3	1539.6	1526.5	1535.1	99948.0
HNX:VN301!	20211108	1537.6	1545.5	1533.6	1537.7	112026.0
HNX:VN301!	20211109	1538.0	1539.0	1520.5	1525.5	131279.0
HNX:VN301!	20211110	1525.0	1534.9	1518.6	1529.3	114035.0
HNX:VN301!	20211111	1527.6	1530.0	1506.0	1513.0	184754.0
HNX:VN301!	20211112	1514.6	1532.0	1505.1	1530.7	149193.0
HNX:VN301!	20211115	1533.0	1536.6	1521.4	1527.8	118479.0
HNX:VN301!	20211116	1527.8	1529.5	1514.6	1517.3	153589.0
HNX:VN301!	20211117	1516.1	1523.3	1514.2	1520.4	104400.0
HNX:VN301!	20211118	1521.9	1522.3	1504.1	1504.1	99965.0
HNX:VN301!	20211119	1505.8	1523.2	1488.0	1502.5	159956.0
HNX:VN301!	20211122	1503.6	1521.9	1498.4	1512.5	151792.0
HNX:VN301!	20211123	1512.6	1528.9	1509.0	1528.9	109728.0
HNX:VN301!	20211124	1533.5	1565.0	1529.6	1562.1	150549.0
HNX:VN301!	20211125	1564.5	1575.0	1561.5	1566.6	124797.0
HNX:VN301!	20211126	1564.6	1577.0	1553.0	1556.7	144438.0
HNX:VN301!	20211129	1548.0	1552.0	1536.2	1551.9	154630.0
HNX:VN301!	20211130	1556.0	1563.7	1533.3	1537.1	169222.0
HNX:VN301!	20211201	1536.9	1553.9	1530.3	1553.9	164930.0
HNX:VN301!	20211202	1549.9	1554.4	1539.6	1540.0	137071.0
HNX:VN301!	20211203	1545.0	1547.9	1509.0	1509.0	155487.0
HNX:VN301!	20211206	1508.1	1513.5	1466.1	1480.2	202912.0
HNX:VN301!	20211207	1490.0	1512.0	1487.0	1512.0	166399.0
HNX:VN301!	20211208	1515.7	1518.4	1508.0	1511.0	152650.0
HNX:VN301!	20211209	1512.8	1533.0	1510.0	1532.0	128284.0
HNX:VN301!	20211210	1531.0	1532.5	1512.5	1520.5	164139.0
HNX:VN301!	20211213	1526.9	1527.4	1516.1	1525.9	119311.0
HNX:VN301!	20211214	1523.9	1530.0	1513.2	1518.5	149559.0
HNX:VN301!	20211215	1518.5	1527.5	1514.1	1520.1	125529.0
HNX:VN301!	20211216	1525.5	1527.0	1460.2	1510.0	124612.0
HNX:VN301!	20211217	1514.0	1524.9	1512.6	1520.0	132974.0
HNX:VN301!	20211220	1512.0	1517.5	1495.2	1508.0	135638.0
HNX:VN301!	20211221	1511.0	1519.5	1508.9	1512.5	121868.0
HNX:VN301!	20211222	1515.6	1519.7	1500.0	1508.0	132208.0
HNX:VN301!	20211223	1506.7	1507.8	1475.1	1488.2	195699.0
HNX:VN301!	20211224	1488.0	1512.0	1484.2	1509.0	143620.0
HNX:VN301!	20211227	1513.5	1518.8	1501.3	1516.0	125770.0
HNX:VN301!	20211228	1518.0	1524.5	1509.5	1520.2	142193.0
HNX:VN301!	20211229	1522.0	1526.4	1517.0	1519.0	104588.0
HNX:VN301!	20211230	1518.9	1533.5	1518.2	1525.5	102713.0
HNX:VN301!	20211231	1527.9	1542.0	1527.3	1537.0	112972.0
HNX:VN301!	20220104	1544.9	1563.0	1542.9	1558.5	82662.0
HNX:VN301!	20220105	1557.6	1560.5	1548.1	1549.0	81630.0
HNX:VN301!	20220106	1544.0	1557.0	1543.5	1545.1	94415.0
HNX:VN301!	20220107	1547.9	1548.0	1533.1	1539.6	109279.0
HNX:VN301!	20220110	1540.0	1540.3	1513.1	1513.1	107307.0
HNX:VN301!	20220111	1515.0	1518.7	1499.5	1503.6	129109.0
HNX:VN301!	20220112	1500.1	1528.9	1486.1	1528.9	177369.0
HNX:VN301!	20220113	1530.1	1541.9	1522.4	1525.7	151811.0
HNX:VN301!	20220114	1519.5	1532.3	1515.0	1520.1	142052.0
HNX:VN301!	20220117	1522.9	1525.4	1478.2	1480.0	178669.0
HNX:VN301!	20220118	1475.0	1489.9	1466.2	1482.5	172531.0
HNX:VN301!	20220119	1482.9	1496.5	1476.5	1482.0	164016.0
HNX:VN301!	20220120	1483.8	1495.8	1480.1	1492.6	110419.0
HNX:VN301!	20220121	1493.0	1503.8	1490.8	1498.9	126276.0
HNX:VN301!	20220124	1496.0	1496.0	1466.0	1468.2	158883.0
HNX:VN301!	20220125	1468.7	1503.9	1465.2	1503.9	208041.0
HNX:VN301!	20220126	1510.0	1525.0	1509.0	1519.0	159574.0
HNX:VN301!	20220127	1513.3	1516.5	1498.5	1512.0	140195.0
HNX:VN301!	20220128	1518.2	1534.5	1517.1	1528.0	146392.0
HNX:VN301!	20220207	1543.9	1548.0	1530.0	1532.8	83370.0
HNX:VN301!	20220208	1532.8	1543.7	1527.4	1535.5	111985.0
HNX:VN301!	20220209	1540.0	1555.9	1540.0	1541.0	133395.0
HNX:VN301!	20220210	1544.0	1544.5	1528.5	1542.5	135635.0
HNX:VN301!	20220211	1538.9	1545.9	1534.9	1543.0	123536.0
HNX:VN301!	20220214	1535.5	1536.0	1510.1	1510.1	155910.0
HNX:VN301!	20220215	1511.1	1527.5	1511.0	1522.0	135768.0
HNX:VN301!	20220216	1528.0	1532.4	1514.5	1521.0	154199.0
HNX:VN301!	20220217	1522.0	1540.2	1521.3	1540.2	132651.0
HNX:VN301!	20220221	1523.2	1531.5	1521.0	1530.0	103489.0
HNX:VN301!	20220222	1517.9	1519.7	1501.4	1517.5	177125.0
HNX:VN301!	20220223	1526.1	1535.0	1524.4	1529.3	116662.0
HNX:VN301!	20220224	1520.0	1526.2	1502.5	1514.7	204657.0
HNX:VN301!	20220225	1526.0	1529.9	1517.0	1517.0	127879.0
HNX:VN301!	20220228	1511.0	1518.8	1507.6	1511.2	128545.0
HNX:VN301!	20220301	1517.8	1518.2	1512.1	1515.6	107865.0
HNX:VN301!	20220302	1512.0	1513.0	1495.8	1502.0	173354.0
HNX:VN301!	20220303	1508.5	1517.5	1502.8	1517.5	139237.0
HNX:VN301!	20220304	1514.8	1517.5	1510.0	1513.0	117730.0
HNX:VN301!	20220307	1496.0	1507.8	1496.0	1504.2	121171.0
HNX:VN301!	20220308	1498.7	1499.4	1484.2	1490.3	147557.0
HNX:VN301!	20220309	1494.0	1495.8	1486.2	1490.8	132245.0
HNX:VN301!	20220310	1500.5	1501.9	1490.0	1490.0	110620.0
